Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
regression_randomforest;testing;featureset_logs;regression_randomforest;61844991898203.2;19085015244.0065;138148.526029077;0.395401283814942;0.843657824757495;62942405993957.1;19423671036.5552;139368.830936315;0.398893974912248;0.840883596778707;178867307302506;23655003280.1039;153801.831198799;0.410769658610319;0.831268287565162
regression_randomforest;testing;featureset_logs -2;regression_randomforest;65116899669923.7;20094707504.9911;141755.802367985;0.405725836211391;0.835386545830567;64698339086034;19965542072.5302;141299.476547262;0.404419764981114;0.83644465369262;185486059447237;24530325920.4175;156621.601065809;0.418300621646346;0.825024589930281
regression_randomforest;testing;featureset_logs -3;regression_randomforest;64337806131777.1;19854283638.8758;140905.229281513;0.403291371653308;0.837356069549993;64195922989919.3;19810499302.5519;140749.775497341;0.402846440190031;0.83771474562622;185912997942946;24586788063.6046;156801.747642061;0.418781752118265;0.824621844092756
regression_randomforest;testing;featureset_logs -4;regression_randomforest;63701769390838.1;19658006292.4975;140207.012280048;0.401292972490492;0.838963950229746;62777215054023.1;19372694045.3705;139185.825590721;0.398370186851145;0.841301194228184;183387200050823;24252754089.9058;155732.957622675;0.415927257422282;0.827004516533179
regression_randomforest;testing;featureset_logs;regression_randomforest;61844991898203.2;19085015244.0065;138148.526029077;0.395401283814942;0.843657824757495;62942405993957.1;19423671036.5552;139368.830936315;0.398893974912248;0.840883596778707;178867307302506;23655003280.1039;153801.831198799;0.410769658610319;0.831268287565162
regression_randomforest;testing;featureset_logs;regression_randomforest;60982261129812.2;18818781400.9604;137181.563633604;0.392633696034162;0.845838780738554;60966190805986.6;18813822189.7814;137163.487086693;0.392581958313457;0.845879406006771;177965105350057;23535688071.1574;153413.454661439;0.409732393342278;0.832119365846009
regression_randomforest;testing;featureset_logs -2;regression_randomforest;63675410260169.5;19649872013.6305;140178.001175757;0.401209938467536;0.839030585274876;63404971385199.4;19566416104.0578;139880.006091142;0.40035703295769;0.839714246161315;188233060440051;24893613759.1815;157777.101504564;0.421386700121821;0.822433248960442
regression_randomforest;testing;featureset_logs -3;regression_randomforest;61869182473623.6;19092480318.9704;138175.54168148;0.395478606562787;0.843596671751156;62038960244145.3;19144872780.1713;138364.998392554;0.396020859375315;0.843167478939637;183207470011078;24228984991.2157;155656.625272475;0.415723391101654;0.827174062090942
regression_randomforest;testing;featureset_logs -4;regression_randomforest;60742139918769.3;18744681351.2635;136911.217039596;0.391859924547646;0.846445799533513;61012063276480.4;18827978175.1213;137215.079984385;0.392729624731404;0.845763441858331;179996537099186;23804342669.9974;154286.560237752;0.412064259463229;0.830203046073021
regression_randomforest;testing;featureset_logs -5;regression_randomforest;96927305526115.4;29911219110.0495;172948.602509675;0.495004191734426;0.754970850165347;97736683487901;30160988578.2753;173669.19294531;0.497066626937643;0.752924768384834;260987871522733;34515356942.767;185783.091111024;0.496184319240022;0.753801121340316
