Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
lasso_regressions_glmnet;testing;featureset_allmanual;lasso regression GLMNET;182371714547139;56278881205.721;237231.703626899;0.678991827650329;0.538970097984066;183561747136192;56646118542.2597;238004.450677418;0.68120354271253;0.535961733395898;457646483086570;60523240506.0596;246014.716035565;0.65704927003387;0.568286256747959
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_9;lasso regression GLMNET;180298973750150;55639245101.111;235879.725922155;0.675122269751227;0.544209920885951;181526407235093;56018024142.908;236681.271212802;0.677416409588021;0.541107008020875;450425518752626;59568275970.7236;244066.130322754;0.651845041437985;0.575098041952711
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_10;lasso regression GLMNET;165266388928009;51000274318.1637;225832.40316253;0.646365362730572;0.582211817862176;166610791044995;51415149219.2546;226749.088684507;0.648989050747106;0.578813212010371;425241256972524;56237685244.0024;237144.861306338;0.63335990840112;0.598855226430125
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_11;lasso regression GLMNET;182397174396772;56286737971.5391;237248.26231511;0.679039221037467;0.53890573629283;183586527526392;56653765630.7337;238020.51514677;0.681249521573021;0.535899089356529;458002037463719;60570262178.6311;246110.264269151;0.657304457602086;0.567950850016427
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_12;lasso regression GLMNET;182353835913365;56273363960.3039;237220.074952151;0.678958544682664;0.539015294602399;183683341415611;56683641850.2116;238083.2666321;0.681429125500577;0.535654346919519;457668164547543;60526107855.2593;246020.543563458;0.657064834033495;0.568265803876535
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_13;lasso regression GLMNET;169392605873090;52273601565.5269;228634.209088506;0.654384541016253;0.571780872478948;170739399872590;52689214588.0542;229541.313466779;0.656980806398395;0.568376220024114;418960295300668;55407035019.5951;235386.989911497;0.628665034308194;0.604780274638278
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_14;lasso regression GLMNET;180942045595085;55837693440.8531;236300.007280688;0.67632517645971;0.542584255686743;182200122375712;56225928830.6472;237120.072601725;0.678672323331778;0.539403877543446;453709792097706;60002617483.0002;244954.317134849;0.654217186104552;0.571999873405442
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_15;lasso regression GLMNET;181270720754798;55939120739.0211;236514.525429245;0.676939158771206;0.541753375322132;182532771350826;56328582425.8064;237336.432992927;0.679291578411129;0.538562951499717;454839004045596;60151954512.411;245258.95399029;0.655030801756161;0.570934648750681
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16;lasso regression GLMNET;150652429134387;46490488854.9259;215616.531961086;0.61712604542154;0.619155444062372;151796387391520;46843507912.8282;216433.610866769;0.619464644736146;0.616263553921921;386288001328091;51086160329.0473;226022.477486305;0.603654554641173;0.635601178660967
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_17;lasso regression GLMNET;176746462436656;54542960171.7808;233544.343052408;0.668438062460423;0.553190556654156;178021611953369;54936464111.5165;234385.289878688;0.67084497525413;0.549967019176286;443841208191155;58697508191.6491;242275.68634027;0.647063173382753;0.581309249651841
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_18;lasso regression GLMNET;180276032965509;55632165704.5236;235864.719075413;0.675079317961307;0.544267914460897;181713991963201;56075911730.6591;236803.529810388;0.677766331572947;0.54063279978615;455184725323201;60197675768.4588;245352.146451705;0.6552796975935;0.570608517921771
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_19;lasso regression GLMNET;182105668334453;56196780846.9227;237058.602136524;0.678496385871164;0.539642654359768;183317321247044;56570690093.209;237845.937726943;0.680749855467934;0.536579634280386;456241117244469;60337382430.0032;245636.687874599;0.656039642922056;0.569611986914702
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_20;lasso regression GLMNET;182142802645555;56208240285.6211;237082.77095905;0.67856556057559;0.539548780000735;183383546198998;56591126739.3914;237888.895788331;0.680872807721651;0.536412219705236;457752495457817;60537260524.7393;246043.208653967;0.657125367327658;0.568186251614491
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_21;lasso regression GLMNET;182311697110763;56260360163.7906;237192.664650049;0.67888009238967;0.539121820156993;183560873610964;56645848977.3073;238003.884374409;0.681201921870505;0.535963941639931;457463158749803;60498996065.5694;245965.436729573;0.656917656232258;0.568459192930317
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_22;lasso regression GLMNET;182371714547139;56278881205.721;237231.703626899;0.678991827650329;0.538970097984066;183561816528554;56646139956.3506;238004.495664159;0.68120367147116;0.535961557974212;457646483086568;60523240506.0594;246014.716035565;0.657049270033869;0.56828625674796
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_23;lasso regression GLMNET;182371561761154;56278834056.829;237231.604253795;0.678991543229971;0.538970484222182;183561740527596;56646116502.8841;238004.446393096;0.681203530450173;0.53596175010222;457646995883321;60523308322.862;246014.85386631;0.657049638148396;0.568285773009061
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_24;lasso regression GLMNET;180955581527088;55841870553.0283;236308.845693572;0.67635047328988;0.542550037280556;182212796670371;56229840046.4037;237128.319789948;0.67869592799051;0.5393718373291;453739602266375;60006559844.7894;244962.364139452;0.654238677820923;0.57197175244313
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_25;lasso regression GLMNET;182198116670068;56225309881.2123;237118.767458867;0.678668587822061;0.539408947903609;183478760813112;56620509431.6038;237950.644948913;0.681049542849202;0.536171520184893;456306390421857;60346014735.4171;245654.258533039;0.656086570148557;0.569550412470703
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_26;lasso regression GLMNET;177704047475180;54838465506.9217;234176.142053203;0.670246363592601;0.550769812090894;179053871257854;55255013503.4266;235063.849843881;0.672787113104564;0.547357500440426;434595187449222;57474732189.2776;239738.883348692;0.640287950417654;0.59003134054996
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_27;lasso regression GLMNET;181680035660330;56065433007.3537;236781.40342382;0.677703002618911;0.540718640241313;182951758014260;56457879344.0086;237608.668495088;0.680070756229006;0.537503766522108;452395658494375;59828824769.4736;244599.314736312;0.653269055559447;0.573239541048469
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_28;lasso regression GLMNET;182112485177773;56198884486.2748;237063.039055595;0.678509084982386;0.539625421596366;183391603577885;56593613201.0138;237894.121829468;0.680887765415621;0.536391850907322;457212457075623;60465841046.8324;245898.029774198;0.656737627608207;0.568695688483543
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_29;lasso regression GLMNET;177408393631921;54747228400.5311;233981.256515412;0.669688572684118;0.551517215616308;178795954473030;55175421840.1575;234894.490868044;0.6723023829493;0.548009505880693;440470028928861;58251673468.0765;241353.834583328;0.6446011173166;0.584489399554191
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_30;lasso regression GLMNET;179612183664663;55427305559.2232;235430.043875507;0.673835213973913;0.545946104408731;180854214173515;55810589160.1651;236242.648901855;0.676161008391616;0.542806290730832;452851029825322;59889047123.6292;244722.387867619;0.653597755859936;0.572809973534856
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_31;lasso regression GLMNET;182111300668814;56198518953.4992;237062.268093215;0.678506878375309;0.539628415997393;183366993814655;56586018767.0592;237878.159499899;0.680842078894123;0.536454063607129;457218029355954;60466577974.7343;245899.528211695;0.656741629593453;0.568690431958936
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_32;lasso regression GLMNET;177845301211827;54882055612.3521;234269.194757553;0.670512694040128;0.55041272713105;179236505761689;55311373479.9227;235183.701560977;0.673130146245556;0.546895806215436;445216295418367;58879361954.4227;242650.699472354;0.648064748039178;0.580012082348917
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_33;lasso regression GLMNET;182138123285545;56206796261.5477;237079.725538789;0.678556844137455;0.539560609274217;183593758763572;56655997149.6904;238025.202761578;0.681262938212102;0.535880809018613;455156470774589;60193939135.6992;245344.531497442;0.655259359785175;0.570635171413922
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_34;lasso regression GLMNET;182286236407186;56252503134.4502;237176.10152469;0.678832686302764;0.539186184006973;183571810897173;56649224162.0655;238010.974877348;0.681222215926803;0.535936292527777;457172182929857;60460514835.6618;245887.199414003;0.656708702183034;0.568733680477075
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_35;lasso regression GLMNET;181879743334774;56127061667.8829;236911.505984583;0.678075375173522;0.540213785583288;183036275731273;56483961034.1841;237663.545867228;0.680227823293131;0.537290108417889;456649306210803;60391364968.6971;245746.546198918;0.656333049483111;0.5692269281562
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_9;lasso regression GLMNET;148334188971600;45775093032.4333;213951.146368589;0.612359468316102;0.625015881563621;149472421402438;46126345132.6763;214770.447531024;0.614704428054505;0.622138466130184;379221085694291;50151568563.6832;223945.458903911;0.598107311104687;0.642267644403122
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_10;lasso regression GLMNET;138304727114480;42680057742.4718;206591.523888256;0.591295152533938;0.650370042589867;139513377946795;43053040563.7388;207492.266274526;0.593873208964614;0.647314611674072;362974552858914;48002982590.6122;219095.829696989;0.585155056127053;0.657593560288945
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_11;lasso regression GLMNET;150245929324907;46365045309.3372;215325.440460103;0.616292898977602;0.620183062669783;151465976911961;46741545104.7558;216197.930389622;0.618790092745525;0.617098821119985;384899934623114;50902590044.7153;225616.023466232;0.60256900853444;0.636910589953822
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_12;lasso regression GLMNET;150248300511066;46365777043.995;215327.139589962;0.616297762135734;0.620177068386486;151469605243968;46742664787.523;216200.519859511;0.618797504187023;0.617089648811911;384926612943950;50906118223.0973;225623.842319683;0.602589890911054;0.636885423371805
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_13;lasso regression GLMNET;144475273469343;44584253500.8002;211149.836610877;0.604341710136552;0.634771097389228;145740635156597;44974736971.6394;212072.480467503;0.606982451778173;0.631572303233357;366143292782156;48422044935.8139;220050.096423096;0.58770368519246;0.654604378411202
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_14;lasso regression GLMNET;149809787929893;46230454537.8469;215012.684597553;0.615397745962747;0.62128561426397;151034933262672;46608527468.8078;215890.08191394;0.617908985389523;0.61818848577489;383188803808796;50676294889.7435;225113.959784247;0.601228110798424;0.638524758785758
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_15;lasso regression GLMNET;150429754495700;46421772718.9322;215457.12501315;0.616669799425477;0.619718358476542;151655148131085;46799922274.6751;216332.896885044;0.619176386592414;0.616620602286361;385708859030718;51009569401.6687;225852.981830368;0.60320187035138;0.636147503604596
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_17;lasso regression GLMNET;148194669522371;45732038118.3061;213850.50413386;0.612071415522767;0.625368582299956;149397561869121;46103243903.4472;214716.659585248;0.614550479087947;0.622327708652774;379811141059571;50229602732.2054;224119.6170178;0.59857244775767;0.641711024785392
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_18;lasso regression GLMNET;148776348723830;45911541034.973;214269.785632443;0.613271460485857;0.623898115753544;150120754712452;46326417130.8293;215235.724569202;0.61603611897813;0.620499500114363;384027251302715;50787178642.1629;225360.108808464;0.60188551877502;0.637733822288926
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_19;lasso regression GLMNET;150492598483814;46441166018.7667;215502.125323085;0.616798596893187;0.619559490870596;151609945377709;46785972960.2557;216300.654091142;0.619084103001201;0.616734873411198;385474614283444;50978590793.2875;225784.390056725;0.603018677347609;0.63636847476994
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_20;lasso regression GLMNET;150427081969086;46420947992.3116;215455.211105027;0.616664321540545;0.61972511453894;151610819582538;46786242734.9291;216301.277700639;0.619085887862778;0.616732663449156;386023320041471;51051156522.0487;225945.029867994;0.603447709693451;0.635850861665728
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_21;lasso regression GLMNET;150649250260609;46489507872.4298;215614.257117728;0.617119534487186;0.619163480154319;151819229036528;46850556715.4846;216449.894237638;0.61951125012479;0.61620581096882;386267223595477;51083412496.9221;226016.398734521;0.603638319679759;0.635620779014197
lasso_regressions_glmnet;testing;featureset_allmanual 1_2_3_4_5_6_7_8_16_22;lasso regression GLMNET;150649562726554;46489604297.6559;215614.48072348;0.617120174479547;0.619162690250334;151792918027179;46842437286.585;216431.137516266;0.619457565645312;0.616272324364784;386254335192219;51081708019.8663;226012.628009734;0.603628248932736;0.635632937090399
