Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
linear_regressions_fitting;featureset_allmanual;O2_feature_mode_exploration;simple linear regression;105710142657103;32621553049.5611;180614.376641399;0.516944758313335;0.732768116852367;531443309854559;181855210261.915;426311.526212116;1.44655825310055;-1.09643762655354;271921880418069;35961367508.8367;189634.826729788;0.506471427740908;0.743486692882086
linear_regressions_fitting;featureset_logratios;O2_feature_mode_exploration;simple linear regression;132842411214732;40994417903.0185;202470.782837965;0.579500989046368;0.664178603694282;506246227770376;173232834414.003;416076.150571842;1.41175861666004;-0.996646434200629;335477732789086;44366558591.4284;210633.707158727;0.562554654304348;0.683532260920515
linear_regressions_fitting;featureset_logs;O2_feature_mode_exploration;simple linear regression;144301486051537;44530623685.0909;211022.803708725;0.603978123393777;0.635210426461731;496356308247328;169848799379.563;411980.186386313;1.3977401297624;-0.956968718541619;397889532246833;52620449943.3754;229391.47748636;0.612652386260565;0.624657053609236
linear_regressions_fitting;featureset_nocorrelation01;O2_feature_mode_exploration;simple linear regression;148889727679348;45946529140.3635;214351.41506499;0.613505095858987;0.623611497355055;492253243369183;168444562124.818;410258.801610773;1.39179563973147;-0.94020713785023;385405497046531;50969450115.259;225764.147098823;0.602964613017933;0.636433675448135
linear_regressions_fitting;featureset_nocorrelation02;O2_feature_mode_exploration;simple linear regression;145059027043168;44764396557.0648;211575.982940089;0.605561403248788;0.633295386895359;495698507087703;169623582073.942;411694.477118491;1.39668660615726;-0.953902054299051;368671942666416;48756456082.3138;220808.641321652;0.589729585837411;0.652219015588036
linear_regressions_fitting;featureset_nocorrelation03_logs;O2_feature_mode_exploration;simple linear regression;176838214184418;54571274242.9926;233604.953378546;0.668611538077255;0.552958611149967;466225571419930;159538249004.46;399239.761971998;1.3541881213988;-0.836395648372538;477311002555175;63123851425.6662;251244.604769269;0.671017111593161;0.549736035949172
linear_regressions_fitting;featureset_nocorrelation04_ratios;O2_feature_mode_exploration;simple linear regression;203773143116350;62883241202.3917;250765.311002921;0.717726991064233;0.484867966297882;441089597820597;150937150144.487;388280.548711952;1.31668920993783;-0.735670319528986;556599367551701;73609649877.8948;271310.98370301;0.724609839065331;0.474940581129715
linear_regressions_fitting;featureset_original_nooutliers;O2_feature_mode_exploration;simple linear regression;123021246453126;37963661920.4216;194842.659395784;0.557668184246826;0.689006196278848;516180820238075;176632532158.918;420138.405732681;1.4255390979952;-1.03581665071962;323133171732723;42734004064.3686;206722.045424209;0.552107496798075;0.695177311979364
linear_regressions_fitting;featureset_pca_nooutliers;O2_feature_mode_exploration;simple linear regression;185002303192519;57090666006.0235;238936.531334209;0.683871293856227;0.532320053439409;459034189470679;157077268325.696;396156.766564507;1.3438126332681;-0.808507980689878;495709663361022;65557053939.1685;256041.117672862;0.683827505023277;0.53237994337364
linear_regressions_fitting;featureset_pca;O2_feature_mode_exploration;simple linear regression;185837142967025;57321759089.1503;239419.629707237;0.670297254469018;0.550701590651297;480272834486249;164280422172.962;405222.742763767;1.34882773102914;-0.819773337983983;481051438408365;63593289498.0984;252177.099471975;0.679141362837345;0.538767009283433
